,musica,cantor
127,Favorita,"Volp, Goude, Yunk Vino, Vk Mac"
128,Esse é o foi,"José Beat, Dj Tibeiras"
129,Drip da Roça,"Reid, Doode, Teto, Ear Kid, Stef, Fabin"
130,Mudo de Vida,"Timor YSF, ProfJam"
131,Fame - A COLORS ENCORE,Rema
132,Maria E Juana,Mateca
133,Gang Conspiracy,Real GUNS
134,Shotta,"Beatoven, Monsta, Deezy, Dj Ritchelly"
135,Que Eu Não Tou A Ver,Yung SpaceGhost
136,Angelina Jolie,"Bresh, SHUNE"
137,Working Hard,Lil Bucket
138,Parado Na Block,"Zee2, Namelezz, Zirio"
139,Ligo Pra Nada,Burn-O
140,Morena,"LBrum, Xavier2bit"
141,VIP *-*,"Luísa Sonza, 6LACK"
142,Ar,T-Rex
143,Na Onda,"Orochi, MC Kevin o Chris, Kizzy"
144,Trap House,Giovanni
145,Stunka,Julinho Ksd
146,Sou Favela,"MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda"
147,Lost,"Trista, Julinho Ksd"
148,Clima Tropicau,"Julinho Ksd, Pika"
149,DNT,"Nouvo, ElGrandeToto, Draganov"
150,Condenado,MTR
151,Poesia Acústica #9: Melhor Forma,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter"
152,Alone,Djonivelli
153,Panamera,"João Zoli, Kiaz"
154,Nike no Jaguar,Mc Pedrinho
155,Fica à Vontade,"Mãolee, Ferrugem, Mc Poze do Rodo, Xamã, MC Hariel"
156,"Life Ain't Fair, Higher Quality",King Manyara RFll
157,Fashion,Teto
158,Melhor Dia 6 - Destino,"Marcos Baroni, Jovem Dex, Yunk Vino, Matuê, The Boy, Clovis Pinho, Wall Hein"
159,Life Goes On,Oliver Tree
160,Visão de Futuro,Abbot
161,wonderful,Travis Scott
162,Brotei No Baile Da Matinha - Tiktok,"BR DA TIJUCA, Dj Cabelão Do Turano, Medellin"
163,"Bandidas (feat. Julinho KSD, Kibow, Trista & Yuran)","Instinto 26, Julinho Ksd, Kibow, Trista, Yuran"
164,Meu Jeito,"Chayco, Paiva Prod"
165,Mina Mais Zica,"Morcego, Igão, Haga"
166,Uh Mama,"Aissa, Delaossa, Lucas Otero"
167,GALOPA,PEDRO SAMPAIO
168,Impossible,David Wolves
169,Molhadrip,"França OG, BIN, Doidão Beats"
170,Otra Noche Sin Ti,"J Balvin, Khalid"
171,Bem Melhor,"Mc Lipi, MC Hariel"
172,Rolex,"BIN, PL Quest, Mainstreet, OIK"
173,Assault (Rio),"Mc Poze do Rodo, Mainstreet, Orochi, Ajaxx, Bielzin, Azevedo, Shenlong"
174,No Vivi Tudo,PCC
175,Conclusão,Julinho Ksd
176,Deixa de Onda (Porra Nenhuma),"DENNIS, Xamã, LUDMILLA"
177,"3, 2, 1",24kGoldn
178,Whiskey,Julinho Ksd
179,CAN'T SAY,Travis Scott
180,"Louis V, Menina Linda","Sidoka, Intactoz Corp."
181,Sky,Achero
182,Tudo pago,Apollo G
183,Dama & Vagabundo,X-Tense
184,Tou Na Boa,Cíntia
185,GOD MODE,"Mizzy Miles, Prodigio, benji price"
186,Rockstar (Tum),"Preto Show, Teo No Beat"
187,Saudade,Rogg
188,Ka Pode Finda,"Voz & Versu, Riv, Ritxa Kursha, CESF, Mark Delman, Lucy Monteiro, Renata Santos"
189,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)","DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan"
190,Pula no Bloco #1,"MUN, Russão, Cunha Beats"
191,Nevoeiro,Carla Prata
192,Nkre Vive Bem,CESF
193,Bora Bora,Afrokillerz
194,Thunderstruck,AC/DC
195,Pode Tentar,Maninho
196,Bored,Billie Eilish
197,Todo De Ti,Rauw Alejandro
198,Hard to Say Goodbye,Johnny Stimson
199,Nice To Meet Ya (feat. Yxng Bane),"Wes Nelson, Yxng Bane"
200,Melhor de Mim,Lupambo
201,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL"
202,love nwantiti (ah ah ah),CKay
203,Perseus,Wet Bed Gang
204,Happier Than Ever,Billie Eilish
205,Não Quer Chifre,"Mc Frog, DJ Lucas Beat"
206,Moça,Ivandro
207,Beggin',Måneskin
208,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
209,Quer Voar,Matuê
210,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow"
211,Rosetta,Karri
212,Sima Nkre,"Djodje, Deejay Telio, Julinho Ksd"
213,Se Essa Bunda,"Costa Gold, Kawe, André Nine"
214,ATENÇÃO,"PEDRO SAMPAIO, Luísa Sonza"
215,Otra Noche Sin Ti,"J Balvin, Khalid"
216,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow"
217,"Não, Não Vou",Mari Fernandez
218,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon"
219,Sabi na Sabura,Julinho Ksd
220,Hoje Tem Show,"CODI, Berná"
221,A Fila Anda,"Marginal Supply, Felp 22, Luccas Carlos"
222,Single,"Deezy, Detergente"
223,Hospedeira,"Julinho Ksd, Deezy, T-Rex"
224,É ASSIM,T-Rex
225,Biggie Biggie Biggie,King Bigs
226,SOHO (feat. TeeBoi),"Febem, Fleezus, CESRV, TEEBOI"
227,11TH STREET,"Young God Blow, DAM3"
228,Papi Chulo,"Octavian, Skepta"
229,Tipo de Vida,"King Bigs, Katana Produções"
230,Mo Dred,"Deezy, Monsta"
231,Problms,Mc Pedrinho
232,Conversas,Plutonio
233,Universo,"BK, JXNV$, Nansy Silvvz"
234,Como é que Tamos?!,"Mota JR, King Bigs"
235,Referências,"Kaio Viana, Mc Jacaré, MC Mari, PK Delas, Thiaguinho MT, Jall, DONATTO, Fabin, MC Lya, Scarp, Lili AM"
236,Trem Bala,"Big Bllakk, Pedro Apoema, $amuka"
237,Terapia,Mc Kevin
238,Chamo Teu Vulgo Malvadão,"mc jhenny, DJ KOSTA 22, Mc Gw"
239,Apê 1001,"BIN, LUDMILLA, Mainstreet, Dallass"
240,Midas,"Lil Whind, Caio Passos"
241,Quanto Vale?,Sagaz
242,MAKEMORE,Vlone975
243,2 birds,mike.
244,No Love,4ourty8
245,RockNRoll,"XROOTZ, LZ, CL, XIXO503"
246,Money Now (feat. Tyga & Johnny Yukon),"KYLE, Johnny Yukon, Tyga"
247,Sinal de Choppa,"Shok, Sueth, Bi$"
248,Churrasco Na Laje,"Mãolee, MC Kevin o Chris, Dfideliz, Gaab"
249,Tela,"Scorp, Bckappa"
250,Trap Queen - Afro Remix,"Fetty Wap, Miri Ben-Ari, Young ""D"", Afrostringz"
251,2 da Matina,Plutonio
252,2030,"Raffa Moreira, Kuririn"
253,Obnimi (Remix),"Okean Elzi, Callmearco"
254,Dichave,"Pejota, Brunnin, Hpbeats"
255,Perder o Interesse,"Knust, Luiz Lins, CMK"
256,WOOO (feat. Carla Prata),"Minguito 283, Carla Prata"
257,777,Nbhd Nick
258,Timeline,Joash
259,ALL YOUR FAULT,"illkira, Memoria XI"
260,Kyouran Hey Kids!!,THE ORAL CIGARETTES
261,Facts,PKA
262,300,Wet Bed Gang
263,Hoji N'ka ta Rola,Julinho Ksd
264,Stunka,Julinho Ksd
265,Prayer,TAOG
266,Click Clack Bum,"Kant, NOG, Spinardi"
267,FINI,Magyn
268,Tipo Rick E Morty,VMZ
269,Plutão,VMZ
270,Sem Compromisso,"ZAAC, MC Ryan SP, Pk, DG e Batidão Stronda"
271,Tempo,"FRANKIEONTHEGUITAR, T-Rex, LON3R JOHNY, Bispo"
272,Louco,"Piruka, Bluay"
273,I Won,"Ty Dolla $ign, Jack Harlow, 24kGoldn"
274,Blxck Like Me,Bartholomew Jones
275,Dado,"Rony Fuego, DreNaz"
276,Bad Boy (with Young Thug),"Juice WRLD, Young Thug"
277,1 de Abril,Plutonio
278,Vergonha na Cara,Plutonio
279,Sweet Spot,"Papillon, Murta"
